DATE,SUPPLIER,DESCRIPTION,PARTS,LABOUR,ODOMETER,NOTES
2016-06-20,Graeme Cooper Automotive,"Fuel system diagnostics; driveline backlash repairs","Fuel pump; fuel pressure regulator; fuel filter; bushes",562.50,214434,"Low power diagnosis and suspension wear"
2016-11-18,Graeme Cooper Automotive,"215,000km service; cooling system and drivetrain repairs","Head gasket; drive flanges; serpentine belt; filters",281.25,219457,"Major cooling system and driveline maintenance"
2016-12-22,Graeme Cooper Automotive,"Vehicle maintenance and repair","Service components",0,,"Workshop maintenance"
2017-05-17,Graeme Cooper Automotive,"Vehicle maintenance and repair","Service components",0,,"Workshop maintenance"
2017-08-29,Graeme Cooper Automotive,"Vehicle maintenance and repair","Service components",0,,"Workshop maintenance"
2017-11-23,Graeme Cooper Automotive,"Vehicle maintenance and repair","Service components",0,,"Workshop maintenance"
2018-09-13,Graeme Cooper Automotive,"Vehicle maintenance and repair","Service components",0,,"Workshop maintenance"
2018-12-12,Graeme Cooper Automotive,"Vehicle maintenance and repair","Service components",0,,"Workshop maintenance"
DATE,SUPPLIER,DESCRIPTION,PARTS,LABOUR,ODOMETER,NOTES
2001-01-24,Land Rover on Crown,"5,000km service and factory inspection","Engine oil; washer fluid",0,5142,"Initial dealer service and warranty inspection"
2001-02-21,Land Rover on Crown,"Investigated rough cold idle and erratic running","Diagnostic inspection",0,8435,"Checked injector harness contamination and ECU faults"
2001-03-30,Land Rover on Crown,"Warranty driveline and fuel system investigation","Fuel pump; latch assembly; trim clips; bulbs",0,11893,"Investigated driveline vibration, fuel starvation and harsh shifting"
2001-06-22,Macquarie Motors Group,"20,000km service and drivability diagnostics","Distributor rotor; globe",138.38,,"Investigated power loss and transmission whine"
2001-11-25,Macquarie Motors Group,"40,000km service","Air filter; fuel filter; brake fluid; globe",207.57,35833,"Investigated intermittent power loss and driveline harshness"
2001-12-01,Motorex,"Seat covers purchased","Seat covers",0,,"Interior/accessory purchase"
2002-04-09,Macquarie Motors Group,"50,000km service and driveline inspection","Service consumables",62.00,49110,"Investigated driveline backlash and harsh shifting"
2004-03-26,Macquarie 4x4 Centre,"Steering damper installation","Defender steering damper",0,,"Suspension and steering refinement"
2015-07-09,Triumph Rover Spares,"Replacement RH sun visor","RH sun visor",0,,"Interior trim replacement"
2015-11-19,MM4X4 UK,"LED light kit purchase","LED light kit",0,,"UK aftermarket lighting upgrade"
2017-10-04,Outback Equipment,"Snorkel pre-cleaner purchase","Uni Filter snorkel pre-cleaner",0,,"Touring dust protection upgrade"
2019-07-20,Landybitz,"Sliding window catch replacement","Sliding window catch LH",0,,"Body hardware replacement"
2019-10-18,McCloy Automotive,"Century battery purchase","N70ZZX battery",0,,"Electrical system maintenance"
2021-03-29,KLR Automotive,"Rear brake pad replacement","Rear brake pads",84.00,,"Brake maintenance"
2022-06-01,McCloy Automotive,"Battery and terminal replacement","Endurant 58 battery; battery terminal",0,,"Electrical maintenance"
2022-09-29,KLR Automotive,"Front propshaft and airflow meter replacement","Front propshaft; airflow meter",202.50,,"Driveline and engine performance repair"
2022-09-05,Limtrim,"Headlining removal and refit","Headlining refurbishment",400.00,,"Interior trim restoration"
2023-02-16,KLR Automotive,"Major driveline, braking and lighting upgrade/service","Propshaft; airflow meter; brake pads; service kit; LED headlights; shocks",1755.00,,"Major touring preparation and reliability upgrade"
2024-09-28,O'Brien,"Windscreen excess claim","Insurance excess",0,,"Windscreen replacement"
2025-12-04,KLR Automotive,"Starter motor replacement","Starter motor Td5",175.00,,"Starting system repair"
DATE,SUPPLIER,DESCRIPTION,PARTS,LABOUR,ODOMETER,NOTES
2000-12-05,Trivett Classic,"Warranty inspection for electrical and trim faults","Alarm ECU",0,1152,"Investigated interior lights, wipers, vents and sun visors"
2002-06-04,Trivett Classic,"Rear brake pad replacement and recall work","Rear brake pads",99.50,54425,"Rear brake service and recall completion"
2002-08-06,Trivett Classic,"Clutch slave cylinder replacement","Clutch slave cylinder",74.63,60303,"Loss of clutch fluid repaired"
2002-09-26,Trivett Classic,"60,000km service","Oil filter; fuel filter; air filter; wiper blades",348.25,64647,"Major scheduled service"
2003-01-22,Trivett Classic,"80,000km/4-year service","Oil filter; fuel filter; air filter; sump plug",447.75,78437,"Major scheduled service with corrosion inspection"
2003-03-19,Trivett Classic,"Clutch master cylinder replacement","Clutch master cylinder; globe",0,78437,"Hydraulic clutch repair"
2004-03-11,Trivett Classic,"110,000km service and steering diagnostics","Oil filter; air filter; additives",210.00,103686,"Steering damper partially seized and drag link wear identified"
2004-04-01,Trivett Classic,"Drag link ball joint replacement","Ball joint kit",105.00,112655,"Steering repair"
2015-03-17,Tyreright Windsor,"Hub seal and axle seal service","Hub seal; axle oil seal",225.00,,"Hub and axle sealing maintenance"
2015-11-26,Triumph Rover Spares,"Brake light plug purchase","Brake light plug",0,,"Electrical connector replacement"
2016-12-03,Tyreright Windsor,"4WD wheel alignment","Wheel alignment",65.00,219829,"Alignment maintenance"
2025-11-25,Windsor Auto Electrical & Mechanical,"Air-conditioning re-gas","A/C refrigerant service",160.00,309750,"Air-conditioning maintenance"
